locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
BSU_20870,yopJ,AL009126.3,BSU20870,2210331,2210747,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31928,Op5
BSU_20880,yopI,AL009126.3,BSU20880,2210749,2211282,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31929,Op5
BSU_20890,sieB,AL009126.3,BSU20890,2211309,2211845,-,superinfection exclusion protein B%3B phage SPbeta,Function unknown,O31930,Op5
BSU_20900,yopG,AL009126.3,BSU20900,2211884,2212015,-,hypothetical protein%3B phage SPbeta,No COG annotation,O31931,Op5
BSU_20910,yopF,AL009126.3,BSU20910,2212026,2212241,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31932,Op5
BSU_20920,yopE,AL009126.3,BSU20920,2212245,2212496,-,conserved membrane protein of unknown function%3B phage SPbeta,No COG annotation,O31933,Op5
BSU_20928,yoyH,AL009126.3,BSU20928,2212567,2212746,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,C0H437,Op5
BSU_20929,yoyI,AL009126.3,BSU20929,2212848,2213078,+,conserved membrane protein of unknown function%3B phage SPbeta,No COG annotation,C0H438,Op5
BSU_20930,yopD,AL009126.3,BSU20930,2213083,2213478,-,conserved membrane protein of unknown function%3B phage SPbeta,Function unknown,O31934,Op5
BSU_20940,yopC,AL009126.3,BSU20940,2213536,2214864,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31935,Op5
BSU_20950,yopB,AL009126.3,BSU20950,2214972,2215199,-,putative transcriptional regulator%2C lambda repressor-like%3B phage SPbeta,Transcription,O31936,Op5
BSU_20960,yopA,AL009126.3,BSU20960,2215460,2216776,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31937,Op5
BSU_20970,yonX,AL009126.3,BSU20970,2217133,2217639,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31938,Op5
BSU_20980,yonV,AL009126.3,BSU20980,2217967,2219199,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31939,Op5
BSU_20990,yonU,AL009126.3,BSU20990,2219281,2219469,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31940,Op5
BSU_20999,yoyJ,AL009126.3,BSU20999,2219514,2219765,-,conserved protein of unknown function (toxin/antitoxin island)%3B phage SPbeta,No COG annotation,C0H439,Op5
BSU_21000,spbT,AL009126.3,BSU21000,2219784,2219960,-,toxin%3B phage SPbeta,No COG annotation,O31941,Op5
BSU_21010,yonS,AL009126.3,BSU21010,2220335,2220946,-,putative hydrolase lipoprotein%3B phage SPbeta,No COG annotation,O31942,Op5
BSU_21020,yonR,AL009126.3,BSU21020,2221061,2221387,-,putative transcriptional regulator (Xre family)%3B phage SPbeta,Transcription,O31943,Op5
BSU_21030,yonP,AL009126.3,BSU21030,2222340,2222534,+,hypothetical protein%3B phage SPbeta,No COG annotation,O31944,Op5
BSU_21040,yonO,AL009126.3,BSU21040,2222574,2225093,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31945,Op5
BSU_21050,hupN,AL009126.3,BSU21050,2225337,2225615,+,HU-related DNA-binding protein%3B phage SPbeta,"Replication, recombination and repair",P68573,Op5
BSU_21058,BSU_21058,AL009126.3,BSU21058,2226176,2226346,+,hypothetical protein%3B phage SPbeta,No COG annotation,A0A2K4Z9I9,Op784
BSU_21060,yonK,AL009126.3,BSU21060,2227297,2227488,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31947,Op5
BSU_21070,yonJ,AL009126.3,BSU21070,2227505,2228722,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31948,Op5
BSU_21080,yonI,AL009126.3,BSU21080,2228756,2229166,-,conserved hypothetical protein%3B phage SPbeta,No COG annotation,O31949,Op785
BSU_21090,yonH,AL009126.3,BSU21090,2229385,2229885,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31950,Op786
BSU_21100,yonG,AL009126.3,BSU21100,2229988,2230908,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31951,Op5
BSU_21110,yonF,AL009126.3,BSU21110,2230895,2232664,+,putative P-loop ATPase%3B phage SPbeta,Function unknown,O31952,Op5
BSU_21120,yonE,AL009126.3,BSU21120,2232682,2234202,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31953,Op5
BSU_21130,yonD,AL009126.3,BSU21130,2234233,2235669,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31954,Op5
BSU_21140,yonC,AL009126.3,BSU21140,2235694,2236230,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31955,Op5
BSU_21150,yonB,AL009126.3,BSU21150,2236269,2237285,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31956,Op5
BSU_21160,yonA,AL009126.3,BSU21160,2237321,2237791,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31957,Op5
BSU_21170,yomZ,AL009126.3,BSU21170,2237806,2238201,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31958,Op5
BSU_21180,yomY,AL009126.3,BSU21180,2238198,2238452,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31959,Op5
BSU_21190,yomX,AL009126.3,BSU21190,2238436,2239086,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31960,Op5
BSU_21200,yomW,AL009126.3,BSU21200,2239083,2239589,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31961,Op5
BSU_21210,yomV,AL009126.3,BSU21210,2239586,2240296,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31962,Op5
BSU_21220,yomU,AL009126.3,BSU21220,2240339,2241136,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31963,Op5
BSU_21229,youA,AL009126.3,BSU21229,2241154,2241765,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,C0H440,Op5
BSU_21230,yomT,AL009126.3,BSU21230,2241765,2241992,+,hypothetical protein%3B phage SPbeta,No COG annotation,O31964,Op5
BSU_21240,yomS,AL009126.3,BSU21240,2242056,2242412,+,putative phage-related lytic exoenzyme%3B phage SPbeta,No COG annotation,O31965,Op5
BSU_21250,yomR,AL009126.3,BSU21250,2242414,2243631,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31966,Op5
BSU_21260,yomQ,AL009126.3,BSU21260,2243642,2243992,+,putative tail phage assembly protein%3B phage SPbeta,No COG annotation,O31967,Op5
BSU_21270,yomP,AL009126.3,BSU21270,2243989,2244180,+,conserved phage protein of unknown function%3B phage SPbeta,No COG annotation,O31968,Op5
BSU_21280,yomO,AL009126.3,BSU21280,2244230,2244730,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31969,Op5
BSU_21290,yomN,AL009126.3,BSU21290,2244714,2245133,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31970,Op5
BSU_21300,yomM,AL009126.3,BSU21300,2245147,2246148,+,putative integrase%3B phage SPbeta,RNA processing and modification,O31971,Op5
BSU_21310,yozP,AL009126.3,BSU21310,2246151,2246480,-,hypothetical protein%3B phage SPbeta,No COG annotation,O31972,Op5
BSU_21320,yomL,AL009126.3,BSU21320,2246656,2247342,-,conserved exported protein of unknown function%3B phage SPbeta,No COG annotation,O31973,Op5
BSU_21329,youB,AL009126.3,BSU21329,2247367,2247543,-,conserved phage protein of unknown function%3B phage SPbeta,No COG annotation,Q9K3A9,Op5
BSU_21330,yomK,AL009126.3,BSU21330,2247889,2248335,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31974,Op5
BSU_21340,yomJ,AL009126.3,BSU21340,2248417,2249100,+,protein conferring self-immunity to the host%3B phage SPbeta,No COG annotation,O31975,Op5
BSU_21350,cwlP,AL009126.3,BSU21350,2249154,2256011,+,lytic transglycosylase%3B SPbeta phage protein,Cell wall/membrane/envelope biogenesis,O31976,Op5
BSU_21360,yomH,AL009126.3,BSU21360,2256062,2256820,+,conserved protein of unknown function%3B phage SPbeta,Function unknown,O31977,Op5
BSU_21370,yomG,AL009126.3,BSU21370,2256832,2259459,+,putative DNA wielding protein%3B SPbeta phage,Function unknown,O31978,Op5
BSU_21380,yomF,AL009126.3,BSU21380,2259475,2260296,+,conserved hypothetical protein%3B phage SPbeta,No COG annotation,O31979,Op5
BSU_21390,yomE,AL009126.3,BSU21390,2260333,2262267,+,putative glycosyl hydrolase%3B phage SPbeta,Carbohydrate transport and metabolism,O31980,Op5
BSU_21400,yomD,AL009126.3,BSU21400,2262437,2263261,+,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31981,Op5
BSU_21409,BSU_21409,AL009126.3,BSU21409,2263251,2263469,+,hypothetical protein%3B phage SPbeta,No COG annotation,A0A2K4Z9K7,Op787
BSU_21410,blyA,AL009126.3,BSU21410,2263489,2264592,+,bacteriophage SPbeta N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,O31982,Op5
BSU_21420,bhlA,AL009126.3,BSU21420,2264680,2264892,+,holin-like protein%3B bacteriophage SPbeta,Function unknown,O31983,Op5
BSU_21430,bhlB,AL009126.3,BSU21430,2264903,2265169,+,holin-like protein%3B bacteriophage SPbeta,Function unknown,O31984,Op5
BSU_21440,bdbB,AL009126.3,BSU21440,2265225,2265671,-,thiol-disulfide oxidoreductase B%3B bacteriophage SPbeta,"Post-translational modification, protein turnover, and chaperones",P68571,Op788
BSU_21450,sunS,AL009126.3,BSU21450,2265668,2266936,-,sublancin glycosyltransferase%3B phage SPbeta,Cell wall/membrane/envelope biogenesis,O31986,Op788
BSU_21460,bdbA,AL009126.3,BSU21460,2266936,2267349,-,bacteriophage SPbeta thiol-disulfide oxidoreductase,Energy production and conversion,P68569,Op788
BSU_21470,sunT,AL009126.3,BSU21470,2267346,2269463,-,sublancin 168 lantibiotic transporter,Defense mechanisms,P68579,Op788
BSU_21480,sunA,AL009126.3,BSU21480,2269521,2269691,-,sublancin 168 lantibiotic antimicrobial precursor peptide%3B SPBeta prophage,No COG annotation,P68577,Op788
BSU_21490,sunI,AL009126.3,BSU21490,2269988,2270305,-,protein of immunity to sublancin,No COG annotation,O31989,Op5
BSU_21500,uvrX,AL009126.3,BSU21500,2270407,2271657,-,lesion bypass phage DNA polymerase%3B phage SPbeta,"Replication, recombination and repair",O31990,Op789
BSU_21510,yolD,AL009126.3,BSU21510,2271650,2271982,-,conserved hypothetical protein%3B phage SPbeta,Function unknown,O31991,Op789
BSU_21520,yolC,AL009126.3,BSU21520,2272156,2272491,+,conserved phage protein of unknown function%3B phage SPbeta,No COG annotation,O31992,Op790
BSU_21530,yolB,AL009126.3,BSU21530,2272534,2272890,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O31993,Op5
BSU_21540,yolA,AL009126.3,BSU21540,2272896,2273363,-,conserved exported protein of unknown function%3B SPbeta phage,No COG annotation,O31994,Op5
BSU_21546,bsrG,AL009126.3,BSU21546,2273594,2273710,+,phage toxin%3B type I toxin-antitoxin system,No COG annotation,L8EAY0,Op5
BSU_21550,yokL,AL009126.3,BSU21550,2273989,2274522,-,putative N-acetyltransferase%3B phage SPbeta,"Translation, ribosomal structure and biogenesis",O31995,Op5
BSU_21560,yokK,AL009126.3,BSU21560,2274558,2275136,-,conserved protein of unknown function%3B phage SPbeta,Function unknown,O31996,Op5
BSU_21570,yokJ,AL009126.3,BSU21570,2275200,2275697,-,conserved protein of unknown function%3B phage SPbeta,Function unknown,O31997,Op5
BSU_21580,yokI,AL009126.3,BSU21580,2275706,2277421,-,putative RNase%3B phage SPbeta,"Intracellular trafficking, secretion, and vesicular transport",O31998,Op5
BSU_21590,yokH,AL009126.3,BSU21590,2277521,2278078,-,conserved protein of unknown function%3B phage SPbeta,Carbohydrate transport and metabolism,O31999,Op5
BSU_21598,yoyK,AL009126.3,,2278108,2278347,+,fragment of putative transposase%3B phage SPbeta,"Replication, recombination and repair",,Op5
BSU_21599,yoyK,AL009126.3,,2278340,2278456,+,fragment of putative transposase%3B phage SPbeta,"Replication, recombination and repair",,Op5
BSU_21600,yokG,AL009126.3,BSU21600,2278602,2279675,-,conserved protein of unknown function%3B phage SPbeta,No COG annotation,O32000,Op5
BSU_21610,nukF,AL009126.3,BSU21610,2279977,2280867,+,calcium-dependent DNA nuclease%2C lipoprotein%3B phage SPbeta,"Replication, recombination and repair",O32001,Op5
BSU_21620,yokE,AL009126.3,BSU21620,2280881,2281363,+,conserved protein of unknown function%3B phage SPbeta,Function unknown,O32002,Op5
BSU_21630,aacD,AL009126.3,BSU21630,2281667,2282485,+,aminoglycoside N3'-acetyltransferase,Defense mechanisms,O32003,Op5
BSU_21638,BSU_21638,AL009126.3,BSU21638,2282505,2282639,-,hypothetical protein%3B phage SPbeta,No COG annotation,A0A2K4Z9K6,Op791
BSU_21639,BSU_21639,AL009126.3,BSU21639,2282801,2282956,-,hypothetical protein%3B phage SPbeta,No COG annotation,A0A2K4Z9K2,Op792
BSU_21640,yokC,AL009126.3,BSU21640,2283136,2283651,-,conserved hypothetical protein%3B phage SPbeta,No COG annotation,O32004,Op5
BSU_21650,yokB,AL009126.3,BSU21650,2283858,2284568,-,hypothetical protein%3B phage SPbeta,No COG annotation,O32005,Op5
BSU_21660,sprA,AL009126.3,BSU21660,2284771,2286408,+,serine-type phage integrase%3B phage SPbeta,"Replication, recombination and repair",O32006,Op5
BSU_21670,spsMc,AL009126.3,,2286448,2287053,+,sporulation capsular polysaccharide biosynthesis enzyme C-terminal end%3B restored upon phage SPbeta excision,Carbohydrate transport and metabolism,,Op5
BSU_21680,msrB,AL009126.3,BSU21680,2287097,2287528,-,peptide methionine R-sulfoxide reductase,"Post-translational modification, protein turnover, and chaperones",P54155,Op793
BSU_21690,msrA,AL009126.3,BSU21690,2287529,2288062,-,peptide methionine S-sulfoxide reductase,"Post-translational modification, protein turnover, and chaperones",P54154,Op5
BSU_21700,ypoP,AL009126.3,BSU21700,2288194,2288619,+,putative transcriptional regulator (MarR family),Transcription,P54182,Op794
BSU_21710,dinF,AL009126.3,BSU21710,2288669,2290006,-,damage inducible%2C Na+ driven multidrug efflux pump,Defense mechanisms,P54181,Op795
BSU_21720,ypmT,AL009126.3,BSU21720,2290078,2290272,-,conserved hypothetical protein,Function unknown,P54180,Op796
BSU_21730,ypmS,AL009126.3,BSU21730,2290285,2290848,-,conserved protein of unknown function,Function unknown,P54179,Op5
BSU_21740,ypmR,AL009126.3,BSU21740,2290858,2291625,-,putative exported lipase/acylhydrolase (lipoprotein),Amino acid transport and metabolism,P40766,Op5
BSU_21750,scuA,AL009126.3,BSU21750,2291703,2292284,-,assembly factor BSco of the Cu(A) site of cytochrome c oxidase,Function unknown,P54178,Op5
BSU_21760,ypmP,AL009126.3,BSU21760,2292432,2292683,-,conserved hypothetical protein,Function unknown,P54177,Op797
BSU_21770,ilvA,AL009126.3,BSU21770,2292769,2294037,-,threonine dehydratase,Amino acid transport and metabolism,P37946,Op797
BSU_21780,silP,AL009126.3,BSU21780,2294286,2295281,+,transcriptional enhancer involved in BCAA homeostasis,Transcription,P54156,Op5
BSU_21790,yplQ,AL009126.3,BSU21790,2295302,2295943,+,putative membrane hydrolase,Function unknown,P54175,Op798
BSU_21800,ypkP,AL009126.3,BSU21800,2295982,2296602,-,putative 1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,P54174,Op799
BSU_21810,dfrA,AL009126.3,BSU21810,2296603,2297109,-,dihydrofolate reductase,Coenzyme transport and metabolism,P11045,Op5
BSU_21820,thyB,AL009126.3,BSU21820,2297106,2297900,-,thymidylate synthase B,Nucleotide transport and metabolism,P11044,Op5
BSU_21830,ypjQ,AL009126.3,BSU21830,2297984,2298517,-,putative phosphatidylglycerophosphatase,Lipid transport and metabolism,P54173,Op800
BSU_21840,ypjP,AL009126.3,BSU21840,2298535,2299146,-,conserved hypothetical protein,Function unknown,P54172,Op5
BSU_21850,rsmJ,AL009126.3,BSU21850,2299406,2300179,-,putative 16S rRNA m(2)G1516 methyltransferase,RNA processing and modification,P54171,Op801
BSU_21860,brxA,AL009126.3,BSU21860,2300221,2300655,-,protein disulfide isomerase%3B bacilliredoxin A (de-bacillithiolation),Function unknown,P54170,Op802
BSU_21870,ilvD,AL009126.3,BSU21870,2300762,2302438,-,dihydroxy-acid dehydratase,Amino acid transport and metabolism,P51785,Op803
BSU_21880,ypgR,AL009126.3,BSU21880,2302727,2303860,-,putative lyase or scaffold,Energy production and conversion,P54169,Op804
BSU_21890,hdhQ,AL009126.3,BSU21890,2303920,2304537,-,Mn(2+)-dependent (deoxy)ribonucleoside pyrophosphohydrolase,Function unknown,P54168,Op5
BSU_21900,bsaA,AL009126.3,BSU21900,2304553,2305035,-,bacillithiol peroxidase,"Post-translational modification, protein turnover, and chaperones",P52035,Op5
BSU_21910,metAA,AL009126.3,BSU21910,2305378,2306283,+,homoserine O-acetyltransferase,Amino acid transport and metabolism,P54167,Op805
BSU_21920,ugtP,AL009126.3,BSU21920,2306514,2307662,+,UDP-glucose diacylglyceroltransferase,Cell wall/membrane/envelope biogenesis,P54166,Op5
BSU_21925,BSU_21925,AL009126.3,BSU21925,2307743,2307889,+,hypothetical protein,No COG annotation,A0A2K4Z9J9,Op806
BSU_21930,cspD,AL009126.3,BSU21930,2307905,2308105,+,cold-shock protein%2C molecular chaperone%2C RNA-helicase co-factor,Transcription,P51777,Op5
BSU_21940,degR,AL009126.3,BSU21940,2308157,2308339,-,activator of degradative enzymes (aprE%2C nprE%2C sacB) production or activity,No COG annotation,P68731,Op807
BSU_21950,ypzA,AL009126.3,BSU21950,2308495,2308764,+,putative spore coat protein,Function unknown,O32007,Op808
BSU_21960,ypeQ,AL009126.3,BSU21960,2308792,2308974,-,conserved protein of unknown function,Function unknown,P54165,Op809
BSU_21970,ypeP,AL009126.3,BSU21970,2308967,2309647,-,ribonuclease,"Replication, recombination and repair",P54164,Op5
BSU_21980,queP,AL009126.3,BSU21980,2309730,2310419,+,preQ0 transporter (promiscuous),Function unknown,P54163,Op5
BSU_21990,ypdQ,AL009126.3,BSU21990,2310419,2310817,+,putative RNA binding protein (no RNase H activity),"Replication, recombination and repair",P54162,Op5
BSU_22000,sspL,AL009126.3,BSU22000,2310859,2310987,+,small acid-soluble spore protein,No COG annotation,Q7WY66,Op810
BSU_22010,exnP,AL009126.3,BSU22010,2310995,2311885,-,5'3'-exonuclease,"Replication, recombination and repair",P54161,Op811
BSU_22019,ypzF,AL009126.3,BSU22019,2311986,2312132,-,hypothetical protein,No COG annotation,C0H443,Op5
BSU_22020,ypbS,AL009126.3,BSU22020,2312207,2312464,-,spore associated protein,Function unknown,P54160,Op812
BSU_22030,dynA,AL009126.3,BSU22030,2312529,2316110,-,dynamin GTPase,Function unknown,P54159,Op813
BSU_22036,fbpC,AL009126.3,BSU22036,2316286,2316375,-,regulator of iron homeostasis,No COG annotation,L8ECR0,Op814
BSU_22040,bpsB,AL009126.3,BSU22040,2316446,2316952,-,alkylpyrone methyltransferase (polyketide synthesis),Function unknown,P54158,Op5
BSU_22050,bpsA,AL009126.3,BSU22050,2316956,2318053,-,promiscuous alkylpyrone synthase BpsA (polyketide synthesis),"Secondary metabolites biosynthesis, transport, and catabolism",P54157,Op5
BSU_22060,pbuX,AL009126.3,BSU22060,2318127,2319443,-,xanthine permease,Nucleotide transport and metabolism,P42086,Op815
BSU_22070,xpt,AL009126.3,BSU22070,2319440,2320024,-,xanthine phosphoribosyltransferase,Nucleotide transport and metabolism,P42085,Op815
BSU_22080,ypwA,AL009126.3,BSU22080,2320355,2321860,-,metal-dependent carboxypeptidase,Amino acid transport and metabolism,P50848,Op816
BSU_22090,kdgT,AL009126.3,BSU22090,2321972,2322964,-,2-keto-3-deoxygluconate permease,Inorganic ion transport and metabolism,P50847,Op817
BSU_22100,kdgA,AL009126.3,BSU22100,2323009,2323599,-,2-keto-3-deoxygluconate-6-phosphate aldolase,Carbohydrate transport and metabolism,P50846,Op817
BSU_22110,kdgK,AL009126.3,BSU22110,2323601,2324575,-,2-keto-3-deoxygluconate kinase,Carbohydrate transport and metabolism,P50845,Op817
BSU_22120,kdgR,AL009126.3,BSU22120,2324613,2325632,-,transcriptional repressor of the Kdg operon (KdgR-galacturonate),Transcription,P50844,Op817
BSU_22130,kduI,AL009126.3,BSU22130,2325854,2326681,+,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase%2C 5-keto-4-deoxyuronate isomerase,Carbohydrate transport and metabolism,P50843,Op5
BSU_22140,kduD,AL009126.3,BSU22140,2326683,2327447,+,2-keto-3-deoxygluconate oxidoreductase,Lipid transport and metabolism,P50842,Op5
BSU_22150,ypvA,AL009126.3,BSU22150,2327488,2329413,-,putative ATP-dependent helicase,Transcription,P50831,Op818
BSU_22160,yptA,AL009126.3,BSU22160,2329515,2329706,-,hypothetical protein,No COG annotation,P50841,Op5
BSU_22169,ypzG,AL009126.3,BSU22169,2329870,2330022,+,conserved protein of unknown function,Function unknown,C0H444,Op819
BSU_22170,rlmKB,AL009126.3,BSU22170,2330075,2331232,-,m(7)G2069 methylase of 23S rRNA,"Replication, recombination and repair",P50840,Op5
BSU_22180,gpsB,AL009126.3,BSU22180,2331779,2332075,-,cell division protein,"Cell cycle control, cell division, chromosome partitioning",P0CI74,Op5
BSU_22190,ypsA,AL009126.3,BSU22190,2332153,2332782,-,conserved protein of unknown function,Function unknown,,Op5
BSU_22200,cotD,AL009126.3,BSU22200,2332784,2333011,-,spore coat protein (inner),Function unknown,P07791,Op820
BSU_22205,BSU_22205,AL009126.3,BSU22205,2333095,2333223,-,conserved protein of unknown function,No COG annotation,A0A2K4Z9J8,Op821
BSU_22210,yprB,AL009126.3,BSU22210,2333324,2334565,-,putative nucleic acid binding enzyme,"Replication, recombination and repair",P50837,Op5
BSU_22220,yprA,AL009126.3,BSU22220,2334581,2336830,-,putative ATP-dependent RNA helicase,"Replication, recombination and repair",P50830,Op5
BSU_22230,ypqE,AL009126.3,BSU22230,2336933,2337439,-,putative phosphotransferase system enzyme IIA component,Carbohydrate transport and metabolism,P50829,Op5
BSU_22240,ypqA,AL009126.3,BSU22240,2337577,2337996,+,putative chaperone,"Post-translational modification, protein turnover, and chaperones",P50836,Op822
BSU_22250,yppG,AL009126.3,BSU22250,2338017,2338394,-,putative spore coat protein%3B methionine-glutamine-rich protein,Function unknown,P50835,Op823
BSU_22260,yppF,AL009126.3,BSU22260,2338582,2338770,+,putative sporulation protein,No COG annotation,P50834,Op824
BSU_22270,yppE,AL009126.3,BSU22270,2338809,2339180,-,conserved protein of unknown function,No COG annotation,P50833,Op825
BSU_22280,yppD,AL009126.3,BSU22280,2339226,2339471,-,putative sporulation protein,No COG annotation,P50832,Op825
BSU_22290,sspM,AL009126.3,BSU22290,2339670,2339774,+,small acid-soluble spore protein,No COG annotation,Q7WY65,Op826
BSU_22300,yppC,AL009126.3,BSU22300,2339799,2340761,-,conserved protein of unknown function,Function unknown,P39791,Op827
BSU_22310,recU,AL009126.3,BSU22310,2340802,2341422,+,Holliday junction resolvase,"Replication, recombination and repair",P39792,Op828
BSU_22320,ponA,AL009126.3,BSU22320,2341444,2344188,+,peptidoglycan glycosyltransferase (penicillin-binding proteins 1A and 1B),Cell wall/membrane/envelope biogenesis,P39793,Op828
BSU_22330,ypoC,AL009126.3,BSU22330,2344264,2344758,-,conserved protein of unknown function,No COG annotation,P39789,Op5
BSU_22340,nth,AL009126.3,BSU22340,2344755,2345414,-,endonuclease III%2C apurinic apyrimidic DNA lyase,"Replication, recombination and repair",P39788,Op5
BSU_22350,dnaD,AL009126.3,BSU22350,2345433,2346131,-,DNA-remodelling primosomal protein,"Replication, recombination and repair",P39787,Op5
BSU_22360,asnS,AL009126.3,BSU22360,2346224,2347516,-,asparaginyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",P39772,Op5
BSU_22370,aspB,AL009126.3,BSU22370,2347660,2348841,-,anabolic oxaloacetate / glutamate aminotransferase,Amino acid transport and metabolism,P53001,Op829
BSU_22380,tseB,AL009126.3,BSU22380,2348864,2349349,-,suppressor of tetracyclin sensitivity of an ezrA mutant,Function unknown,P54396,Op829
BSU_22390,ypmA,AL009126.3,BSU22390,2349358,2349528,-,conserved protein of unknown function,Function unknown,P54395,Op829
BSU_22400,dinG,AL009126.3,BSU22400,2349671,2352466,-,damage inducible ATP-dependent 3'->5' nuclease,"Replication, recombination and repair",P54394,Op5
BSU_22410,panD,AL009126.3,BSU22410,2352592,2352975,-,aspartate 1-decarboxylase,Coenzyme transport and metabolism,P52999,Op5
BSU_22420,panC,AL009126.3,BSU22420,2352977,2353837,-,pantothenate synthetase,Coenzyme transport and metabolism,P52998,Op5
BSU_22430,panB,AL009126.3,BSU22430,2353839,2354672,-,ketopantoate hydroxymethyltransferase,Coenzyme transport and metabolism,P52996,Op5
BSU_22440,birA,AL009126.3,BSU22440,2354918,2355895,-,biotin acetyl-CoA-carboxylase ligase and biotin regulon repressor (BirA-biotinoyl-5'-AMP),Transcription,P0CI75,Op830
BSU_22450,cca,AL009126.3,BSU22450,2355880,2357073,-,tRNA nucleotidyltransferase,"Translation, ribosomal structure and biogenesis",P42977,Op830
BSU_22460,bshA,AL009126.3,BSU22460,2357078,2358211,-,N-acetyl-alpha-D-glucosaminyl L-malate synthase%3B malate glycosyltransferase for bacillithiol synthesis,Cell wall/membrane/envelope biogenesis,P42982,Op830
BSU_22470,bshBA,AL009126.3,BSU22470,2358208,2358918,-,N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1%3B malate N-acetylglucosamine N-acetyl hydrolase,Function unknown,P42981,Op830
BSU_22480,mgsA,AL009126.3,BSU22480,2358911,2359324,-,methylglyoxal synthase,Carbohydrate transport and metabolism,P42980,Op830
BSU_22490,dapB,AL009126.3,BSU22490,2359340,2360143,-,(4S)-4-hydroxy-2%2C3%2C4%2C 5-tetrahydro-(2S)-dipicolinic acid (HTPA) dehydratase reductase,Amino acid transport and metabolism,P42976,Op830
BSU_22500,ypjD,AL009126.3,BSU22500,2360155,2360490,-,oxidized nucleotide pyrophosphohydrolase,Function unknown,P42979,Op830
BSU_22510,ypjC,AL009126.3,BSU22510,2360630,2361502,+,putative integral inner membrane protein,Function unknown,P42978,Op831
BSU_22520,ypjB,AL009126.3,BSU22520,2361544,2362338,-,sporulation septum-associated protein,Function unknown,P54393,Op832
BSU_22530,ypjA,AL009126.3,BSU22530,2362407,2362964,-,conserved integral inner membrane protein of unknown function,Function unknown,P54392,Op5
BSU_22540,qcrC,AL009126.3,BSU22540,2363111,2363878,-,menaquinol:cytochrome c oxidoreductase (cytochrome cc subunit),Energy production and conversion,P46913,Op833
BSU_22550,qcrB,AL009126.3,BSU22550,2363913,2364587,-,menaquinol:cytochrome c oxidoreductase (cytochrome b subunit),Energy production and conversion,P46912,Op833
BSU_22560,qcrA,AL009126.3,BSU22560,2364589,2365092,-,menaquinol:cytochrome c oxidoreductase (iron-sulfur subunit),Energy production and conversion,P46911,Op833
BSU_22570,ypiF,AL009126.3,BSU22570,2365235,2365681,-,conserved protein of unknown function,Function unknown,P54391,Op5
BSU_22580,ypiB,AL009126.3,BSU22580,2365736,2366275,-,conserved protein of unknown function,Function unknown,P54390,Op5
BSU_22590,ypiA,AL009126.3,BSU22590,2366347,2367618,-,conserved protein of unknown function,Function unknown,P54389,Op5
BSU_22600,aroA,AL009126.3,BSU22600,2367954,2369240,-,3-phosphoshikimate 1-carboxyvinyltransferase (5-enolpyruvoylshikimate-3-phosphate synthase),Amino acid transport and metabolism,P20691,Op834
BSU_22610,tyrA,AL009126.3,BSU22610,2369251,2370366,-,prephenate dehydrogenase,Amino acid transport and metabolism,P20692,Op834
